#,ISO 27001:2022,الوصف,الضوابط المرتبطة,حالة التطبيق,ملاحظات
15,A.6.2,إدارة الوصول,5.1 | 5.2 | 5.3 | 5.4 | 9.1 | 9.2,تطبيق شامل,نظام IAM معتمد
16,A.6.3,التوعية والتدريب,2.2 | 5.1 | 5.2 | 5.3,تطبيق شامل,برنامج تدريب منتظم
17,A.6.4,التعامل مع حادثة أمنية,8.2 | 11.3 | 36,تطبيق جزئي,خطة موجودة تحتاج تحسين
18,A.6.5,استمرارية الأعمال,10.1 | 10.2 | 10.3 | 14.1 | 14.2 | 14.3,تطبيق شامل,BCP/DRP موجود ومختبر
19,A.6.6,الامتثال لمتطلبات قانونية وتنظيمية,11.1 | 11.2 | 11.3 | 15.1 | 15.2 | 15.3,تطبيق جزئي,يحتاج تحسين للامتثال الكامل
20,A.7.1,الأصول المادية,41 | 42,تطبيق جزئي,رقابة مادية أساسية موجودة
21,A.7.2,التخلص من الأصول,6.3 | 6.4 | 37,تطبيق جزئي,إجراء تدمير آمن موجود
22,A.7.3,وضوح الموصولات والتوسعات,5.1 | 7.1,تطبيق شامل,جرد أصول محدث
23,A.7.4,الملكية والمسؤولية,2.1 | 6.1 | 40,تطبيق شامل,مالك الأصول محدد
24,A.8.1,التحكم بالوصول إلى المعلومات,5.1 | 5.2 | 5.3 | 5.4,تطبيق شامل,نظام وصول معتمد
25,A.8.2,وصول المستخدم,5.1 | 5.3 | 5.4 | 9.1,تطبيق شامل,إدارة وصول منتظمة
26,A.8.3,الشبكة والبيئات المنفصلة,7.1 | 7.2 | 7.3 | 9.3 | 34,تطبيق شامل,شبكات منفصلة وآمنة
27,A.8.4,تسجيل الوصول والأنشطة,8.1 | 8.2 | 12.1 | 12.2,تطبيق شامل,تسجيل شامل وفعّال
28,A.8.5,الأنشطة المثيرة للقلق,8.2 | 12.4 | 20,تطبيق جزئي,تنبيهات موجودة تحتاج تحسين
29,A.8.6,ضمان المعدات والأجهزة,38 | 42 | 45,تطبيق جزئي,يحتاج تحسين للتحديثات الأمنية
30,A.8.7,محذوف في ISO 27001:2022,,تطبيق غير منطبق,لا ينطبق
31,A.9.1,التشفير,6.2 | 6.3 | 6.4 | 10.1 | 10.2 | 10.3,تطبيق شامل,تشفير شامل مطبق
32,A.9.2,التشفير مع المفاتيح,6.4 | 10.4,تطبيق شامل,إدارة مفاتيح آمنة
33,A.9.3,الحقوق الملكية الفكرية,11.1 | 44,تطبيق جزئي,سياسات موجودة
34,A.9.4,السرية أو عدم التشريح,6.1 | 6.2,تطبيق شامل,اتفاقيات سرية موجودة
35,A.9.5,إخفاء البيانات,6.1 | 43,تطبيق جزئي,يحتاج تحسين في التحكم
36,A.9.6,الكشف عن الثغرات,45 | 39,تطبيق شامل,برنامج اختبار ثغرات موجود
37,A.9.7,إزالة المعلومات,37 | 43,تطبيق شامل,إجراء حذف آمن موجود
38,A.10.1,التقييم المنتظم,9.1 | 12.3 | 13.1,تطبيق شامل,تقييم دوري منتظم
39,A.10.2,الاختبار الدوري للنسخ الاحتياطية,37 | 10.3 | 10.4,تطبيق شامل,اختبار دوري للنسخ
40,A.10.3,حماية المعلومات,37 | 6.3 | 42,تطبيق جزئي,حماية أساسية موجودة
41,A.10.4,استمرارية الأعمال والكوارث,10.1 | 10.2 | 10.3 | 24 | 25 | 26,تطبيق شامل,BCP/DRP موجود ومختبر
42,A.10.5,جودة المعلومات,40 | 45,تطبيق جزئي,يحتاج تحسين
43,A.10.6,وسائط التخزين والمعلومات,37 | 42 | 6.3,تطبيق شامل,وسائط محمية
44,A.11.1,الحقوق والواجبات المرتبطة بالموارد البشرية,2.1 | 5.1 | 39,تطبيق جزئي,سياسات موجودة
45,A.11.2,فترة التعيين,39 | 2.1,تطبيق شامل,فحوصات أمنية موجودة
46,A.11.3,الغياب والتغيير,39 | 5.1 | 9.1,تطبيق جزئي,سياسات موجودة
47,A.11.4,إنهاء الخدمة,5.1 | 5.4 | 9.4,تطبيق جزئي,إجراء إنهاء موجود
48,A.11.5,التزامات سرية أو عدم التشريح,39 | 6.1,تطبيق شامل,اتفاقيات موجودة
49,A.11.6,معاملة الموارد البشرية,39 | 8.2,تطبيق شامل,إجراء معاملة واضح
50,A.11.7,الاتصالات والتعاون مع الموردين,11.1 | 35 | 5.1,تطبيق جزئي,عقود موجودة
