#,المجال,Sub-Area,الضابط,Risk Reference,Control Objective,Controls Implemented,Testing Steps,Framework Reference,Required Evidence,Maturity Level,Result,Comments
5.3,أمن المعلومات,إدارة الوصول,إدارة كلمات المرور,كلمات مرور ضعيفة قد تسهل اختراق الحسابات,التأكد من سياسة قوية لإدارة كلمات المرور,"سياسة كلمات مرور معتمدة، نظام إدارة مركزي (Directory Service)، تشفير كامل","1. سياسة كلمات المرور الموثقة والمعتمدة
2. متطلبات: طول أدنى، تعقيد، انتهاء الصلاحية (90 يوم)
3. نظام إدارة مركزي (Active Directory/LDAP)
4. تشفير كلمات المرور باستخدام Hash آمن
5. منع إعادة تدوير كلمات المرور (5 سابقات)","ISO 27001 A.6.2.1, NIST SP 800-63B, OWASP",سياسة كلمات المرور | تقارير Directory Service | نتائج اختبارات الأمن,1-5,
5.4,أمن المعلومات,إدارة الوصول,المصادقة متعددة العوامل (MFA),حسابات بدون MFA عرضة للاختراق,التأكد من تطبيق MFA على الحسابات الحرجة,"MFA مطبق على الحسابات الحرجة، خاصة الإدارة والحساسة","1. سياسة MFA الموثقة والمعتمدة
2. تطبيق MFA على: Admin، DBA، Finance، HR
3. آليات MFA المتاحة: SMS، App، Hardware Token
4. نسبة تطبيق MFA (هدف: 95%)
5. اختبار MFA على 5 حسابات حرجة","ISO 27001 A.6.2.1, NIST SP 800-63, CISA Guidelines",سياسة MFA | تقارير التطبيق | نتائج الاختبار,1-5,
6.1,أمن المعلومات,التشفير وحماية البيانات,تصنيف البيانات,عدم تصنيف البيانات قد يؤدي لحماية غير مناسبة,التأكد من وجود نظام تصنيف البيانات,"نظام تصنيف معتمد: عام/داخلي/حساس/سري، معايير واضحة","1. وثيقة تصنيف البيانات الموثقة
2. تصنيف: عام، داخلي، حساس، سري
3. مالك البيانات معيّن لكل فئة
4. متطلبات الحماية حسب التصنيف
5. مراجعة دورية (سنوية) للتصنيف","ISO 27001 A.2.1, NIST SP 800-122, DLP Policy",وثيقة التصنيف | سجلات الملكية | سجلات المراجعة,1-5,
6.2,أمن المعلومات,التشفير وحماية البيانات,تشفير البيانات أثناء النقل,بيانات غير مشفرة قد تُختَرَق أثناء النقل,التأكد من تشفير البيانات أثناء النقل (Transit),"TLS/SSL لجميع الاتصالات، HTTPS، VPN للبيانات الحساسة","1. سياسة التشفير أثناء النقل موثقة
2. جميع الاتصالات تستخدم TLS 1.2+
3. شهادات SSL صحيحة وسارية
4. HTTPS على جميع المواقع والخدمات
5. VPN للبيانات الحساسة وأثناء العمل من بعيد","ISO 27001 A.8.2.1, NIST SP 800-52, OWASP",سياسة التشفير | تقرير SSL Scan | تقرير اختبار TLS,1-5,
6.3,أمن المعلومات,التشفير وحماية البيانات,تشفير البيانات أثناء التخزين,بيانات غير مشفرة في التخزين قد تُسرَق,التأكد من تشفير البيانات أثناء الراحة (Rest),"تشفير قاعدة البيانات، تشفير التخزين، تشفير النسخ الاحتياطية","1. سياسة التشفير أثناء التخزين موثقة
2. تشفير قاعدة البيانات (TDE أو AppLevel)
3. تشفير الأقراص الصلبة (BitLocker/FileVault)
4. تشفير النسخ الاحتياطية
5. إدارة آمنة للمفاتيح التشفيرية","ISO 27001 A.8.1.1, NIST SP 800-111, FIPS 140-2",سياسة التشفير | تقرير TDE | سجلات تشفير التخزين,1-5,
6.4,أمن المعلومات,التشفير وحماية البيانات,إدارة المفاتيح التشفيرية,سوء إدارة المفاتيح قد يجعل التشفير غير فعال,التأكد من إدارة آمنة للمفاتيح التشفيرية,"نظام إدارة مفاتيح مركزي (KMS)، دوران دوري، فصل المسؤوليات","1. نظام KMS معتمد (على سبيل المثال: HashiCorp Vault)
2. سياسة إدارة المفاتيح موثقة
3. دوران دوري للمفاتيح (سنوياً أو حسب السياسة)
4. تخزين آمن للمفاتيح الرئيسية
5. فصل المسؤوليات: الإنشاء، التخزين، الاستخدام، الحذف","ISO 27001 A.8.1.4, NIST SP 800-57, PKCS Standards",سياسة إدارة المفاتيح | تقرير KMS | سجلات الدوران,1-5,
7.1,أمن المعلومات,أمن الشبكة,جدران النار (Firewalls),عدم وجود حماية محيطية قد يسمح بوصول غير مصرح,التأكد من وجود جدران نار معتمدة وقويّة,"جدران نار على المحيط، قواعد معتمدة، مراقبة دورية","1. توثيق جدران النار (المحيطية والداخلية)
2. مراجعة قواعد الفتح والإغلاق
3. حذف القواعل القديمة غير المستخدمة
4. مراقبة محاولات اختراق (IDS/IPS)
5. اختبار نفاذ من خارج الشبكة","ISO 27001 A.8.2.3, NIST SP 800-41, CIS Benchmarks",تقرير قواعد Firewall | سجلات المراقبة | نتائج اختبار الاختراق,1-5,
7.2,أمن المعلومات,أمن الشبكة,نظام الكشف عن الاختراقات (IDS/IPS),عدم كشف الهجمات قد يؤخر الاستجابة,التأكد من وجود نظام IDS/IPS فعّال,"نظام IDS/IPS معتمد، توقيعات محدّثة، مراقبة 24/7","1. نظام IDS/IPS معتمد (مثل: Snort, Suricata)
2. توقيعات محدّثة (يومياً أو تلقائياً)
3. مراقبة 24/7 والتنبيهات المفعلة
4. سجلات الأحداث محفوظة (6 أشهر على الأقل)
5. اختبار فعالية النظام (مثل: اختبارات الاختراق)","ISO 27001 A.8.2.1, NIST SP 800-94, SANS Guidelines",تقرير IDS/IPS | سجلات الأحداث | نتائج الاختبارات,1-5,
7.3,أمن المعلومات,أمن الشبكة,الشبكات الخاصة الافتراضية (VPN),اتصالات غير محمية من بعيد قد تعرض البيانات,التأكد من استخدام VPN آمن للعمل من بعيد,"VPN معتمد، مصادقة قوية، تشفير كامل","1. توثيق سياسة VPN المعتمدة
2. VPN مع تشفير قوي (IPSec أو TLS)
3. المصادقة: MFA أو شهادات رقمية
4. سجلات وصول VPN محفوظة
5. اختبار أمان VPN (مثل: اختبارات اختراق)","ISO 27001 A.8.2.1, NIST SP 800-77, RFC 7539",سياسة VPN | تقرير إعدادات VPN | سجلات الوصول,1-5,
8.1,أمن المعلومات,مراقبة وتسجيل الأحداث,تسجيل الأحداث (Logging),عدم التسجيل قد يمنع تتبع الانتهاكات,التأكد من تسجيل شامل لجميع الأحداث الحرجة,"نظام تسجيل مركزي (SIEM)، حفظ 12 شهراً، تحليل دوري","1. نظام SIEM معتمد (مثل: Splunk, ELK)
2. تسجيل جميع الأحداث الحرجة
3. حفظ السجلات: 12 شهراً على الأقل
4. حماية السجلات من التعديل
5. تحليل دوري للسجلات والبحث عن شذوذ","ISO 27001 A.8.4, NIST SP 800-92, CIS Benchmarks",تقرير SIEM | سجلات الأحداث | تقارير التحليل,1-5,
8.2,أمن المعلومات,مراقبة وتسجيل الأحداث,المراقبة والتنبيهات,عدم الكشف السريع عن الحوادث يؤخر الاستجابة,التأكد من مراقبة فعّالة وتنبيهات فورية,"نظام مراقبة 24/7، تنبيهات فورية، فريق استجابة معد","1. نظام مراقبة معتمد (مثل: Nagios, Zabbix)
2. تنبيهات مفعلة للأحداث الحرجة
3. قنوات إشعارات متعددة: Email، SMS، PagerDuty
4. فريق استجابة في الخدمة (On-Call)
5. معايير زمنية للاستجابة (SLA)","ISO 27001 A.8.1.3, NIST SP 800-61, SANS Guidelines",تقرير نظام المراقبة | سجلات التنبيهات | خطة الاستجابة,1-5,
9.1,إدارة المخاطر,تقييم المخاطر,إجراء تقييم شامل للمخاطر,عدم تقييم المخاطر يؤدي لمفاجآت أمنية,التأكد من إجراء تقييم شامل للمخاطر سنوياً,"تقييم خطر سنوي، تحديد وتقييم جميع المخاطر","1. وثيقة تقييم المخاطر الأخيرة (سنة حديثة)
2. شمول جميع الأصول والعمليات الحرجة
3. مصفوفة تقييم المخاطر (الاحتمالية × التأثير)
4. تحديد المخاطر الحرجة (High/Critical)
5. موافقة الإدارة على نتائج التقييم","ISO 27001 A.5.9, NIST SP 800-30, ISO 31000",تقرير تقييم المخاطر | مصفوفة المخاطر | موافقة الإدارة,1-5,
9.2,إدارة المخاطر,تقييم المخاطر,معالجة المخاطر,عدم معالجة المخاطر تترك التعرض دون حماية,التأكد من وجود خطة معالجة المخاطر,"خطة معالجة المخاطر موثقة، مالك لكل مخطر، جدول زمني واضح","1. خطة معالجة المخاطر موثقة
2. كل مخطر له مالك و DueDate
3. خيارات: Mitigate/Transfer/Accept/Avoid
4. ميزانية مخصصة لمعالجة المخاطر
5. تتبع تنفيذ الخطة (نسبة الإنجاز)","ISO 27001 A.5.9, NIST RMF, ISO 31000",خطة معالجة المخاطر | سجلات المتابعة | الميزانية,1-5,
9.3,إدارة المخاطر,تقييم المخاطر,مراقبة المخاطر المستمرة,عدم مراقبة المخاطر قد تظهر مخاطر جديدة,التأكد من مراقبة دورية للمخاطر,"مراجعة ربع سنوية للمخاطر، تحديث السجل","1. سجل المخاطر محدّث (ربع سنوي على الأقل)
2. مخاطر جديدة مكتشفة ومضافة
3. مخاطر مُحلّة تُزاَل من السجل
4. تقارير المخاطر مرفوعة للإدارة العليا
5. لجنة مخاطر تجتمع دورياً (كل 3 أشهر)","ISO 27001 A.5.9, NIST SP 800-37, ISO 31000",سجل المخاطر | تقارير المراجعة | محاضر اللجان,1-5,
10.1,استمرارية العمل,خطة استمرارية العمل,توثيق BCP,عدم وجود خطة BCP قد يؤدي لفقدان العمليات,التأكد من وجود خطة BCP معتمدة,"خطة BCP موثقة ومعتمدة، أهداف واضحة (RTO/RPO)","1. وثيقة BCP معتمدة من الإدارة
2. تحديد العمليات الحرجة (Critical Functions)
3. أهداف واضحة: RTO (Recovery Time Objective)، RPO (Recovery Point Objective)
4. الموارد المطلوبة والتكاليف محددة
5. سيناريوهات مختلفة (موقع، كهرباء، إنترنت)","ISO 27001 A.5.30, ISO 22301, COBIT 2019 BAI04",وثيقة BCP | أهداف RTO/RPO | الموارد المطلوبة,1-5,
10.2,استمرارية العمل,خطة استمرارية العمل,اختبار البطة (DRP),عدم اختبار الخطة قد يكشف فجوات حرجة,التأكد من اختبار BCP/DRP دوري فعّال,"اختبار DRP سنوي، تقرير نتائج، توثيق الدروس المستفادة","1. تقرير آخر اختبار DRP (سنة أخيرة)
2. نطاق الاختبار: جميع الأنظمة الحرجة
3. نتائج الاختبار: ناجح، يحتاج تحسين، فاشل
4. الأخطاء المكتشفة والدروس المستفادة
5. تحديثات على الخطة بناءً على النتائج","ISO 27001 A.5.30, ISO 22301, NIST SP 800-34",تقرير اختبار DRP | نتائج الاختبار | خطة التحسينات,1-5,
10.3,استمرارية العمل,خطة استمرارية العمل,مركز الكوارث,عدم وجود موقع بديل قد يعطل العمليات,التأكد من وجود موقع بديل (Hot/Warm/Cold Site),"موقع بديل معتمد، نسخ احتياطية دورية، اختبار دوري","1. موقع بديل موثق (Hot/Warm/Cold)
2. نسخ احتياطية دورية محدّثة
3. سرعة التبديل المختبرة والموثقة
4. الموظفون يعرفون إجراءات الجوء
5. ميزانية مخصصة لصيانة الموقع البديل","ISO 27001 A.5.30, ISO 22301, NIST SP 800-53",وثيقة الموقع البديل | سجلات النسخ الاحتياطية | نتائج الاختبار,1-5,
11.1,الامتثال والتدقيق,سياسة البيانات الشخصية,تطبيق قانون 24/2023,عدم الامتثال لقانون 24/2023 قد يسبب غرامات,التأكد من الامتثال الكامل لقانون حماية البيانات,"سجل معالجة البيانات (DPA Register)، تقييم PIA، سياسة الخصوصية","1. سجل معالجة البيانات موثق (Register of Processing Activities)
2. تقييم تأثير الخصوصية (PIA) للعمليات الحساسة
3. سياسة الخصوصية منشورة ومحدّثة
4. إجراءات طلبات حقوق الأفراد (وصول، حذف، نقل)
5. عملية إبلاغ الانتهاكات (72 ساعة)","قانون 24/2023, ISO 27001 A.6, GDPR Article 32",سجل معالجة البيانات | تقييم PIA | سياسة الخصوصية,1-5,
11.2,الامتثال والتدقيق,سياسة البيانات الشخصية,إدارة طلبات الحقوق,تأخير الاستجابة قد ينتهك حقوق الأفراد,التأكد من معالجة سريعة لطلبات الحقوق,"نظام تتبع طلبات، استجابة في الموعد (30 يوم)","1. نظام إدارة طلبات الحقوق موجود ومفعّل
2. الاستجابة في الموعد (30 يوماً)
3. توثيق جميع الطلبات والاستجابات
4. عملية التحقق من هوية طالب الحق
5. معدل الامتثال (هدف: 100%)","قانون 24/2023 المادة 8, GDPR Article 12-22",نظام إدارة الطلبات | سجلات الطلبات | تقارير الامتثال,1-5,
11.3,الامتثال والتدقيق,سياسة البيانات الشخصية,إدارة الانتهاكات,عدم الإبلاغ عن الانتهاكات قد يفاقم المشكلة,التأكد من الإبلاغ الفوري عن الانتهاكات,"خطة إبلاغ موثقة، تبليغ في 72 ساعة، توثيق كامل","1. خطة إبلاغ الانتهاكات موثقة والمعتمدة
2. قنوات الإبلاغ (من يُبلّغ وكيف؟)
3. الإبلاغ للسلطات المختصة في 72 ساعة
4. إخطار المتضررين إن لزم الحال
5. توثيق كامل لكل انتهاك","قانون 24/2023 المادة 9/ب, GDPR Article 33-34",خطة الإبلاغ | سجلات الانتهاكات | خطابات الإخطار,1-5,
12.1,الامتثال والتدقيق,معايير الجودة,شهادة ISO 27001,عدم الحصول على شهادة معترف بها قد يقلل الثقة,التأكد من الحصول على شهادة ISO 27001 معترفة,"شهادة ISO 27001 من جهة معتمدة، تحديث دوري","1. شهادة ISO 27001 معترفة دولياً
2. تاريخ الصدور والانتهاء
3. جهة التصديق معترفة (UKAS, DAkkS, إلخ)
4. نطاق الشهادة (الأنظمة والعمليات المغطاة)
5. تقرير التدقيق الخارجي","ISO 27001:2022, ISMS Certification",نسخة الشهادة | تقرير التدقيق الخارجي | نطاق الشهادة,1-5,
12.2,الامتثال والتدقيق,معايير الجودة,تطبيق معايير COBIT 2019,عدم تطبيق معايير معترفة قد يؤدي لحوكمة ضعيفة,التأكد من تطبيق معايير COBIT 2019,"تطبيق COBIT 2019، تقييم النضج، خريطة التحسينات","1. وثيقة تطبيق COBIT 2019
2. تقييم النضج (Maturity Assessment) لكل عائلة
3. خريطة التحسينات بناءً على الفجوات
4. تخطيط الرحلة (Roadmap) لتحسين النضج
5. تقارير دورية عن التقدم","COBIT 2019, ISACA Guidelines",وثيقة التطبيق | تقييم النضج | خريطة التحسينات,1-5,
