#,المخطر,الوصف,التصنيف,احتمالية,التأثير,درجة المخاطر,الضوابط المرتبطة,الحالة
32,ضعف تقييم النضج,عدم معرفة مستوى النضج يعيق التحسين المستمر,Medium,Medium,Low,Medium,12.3,Active
33,تضارب المسؤوليات (SOD),تراكم صلاحيات قد يسهل الاحتيال والأخطاء,High,High,High,Critical,9.3,Active
34,عدم الفصل بين البيئات,الخلط بين بيئات الإنتاج والاختبار قد يعطل العمليات,High,Medium,High,High,9.3 | 10.1,Active
35,ضعف إدارة الموردين,عدم رقابة الموردين قد تعرض البيانات للخطر,High,High,High,Critical,5.1 | 11.1,Active
36,عدم إدارة الحوادث,عدم وجود خطة استجابة يؤدي لتأخر معالجة الحوادث,High,High,High,Critical,8.2 | 11.3,Active
37,ضعف النسخ الاحتياطية,نسخ احتياطية غير كافية قد تؤدي لفقدان البيانات,High,High,High,Critical,10.3 | 14.4,Active
38,عدم التحديث الأمني,عدم تطبيق التحديثات الأمنية يعرض الأنظمة للهجمات,High,High,High,Critical,7.1 | 7.2,Active
39,ضعف إدارة الموارد البشرية,عدم فحص الموظفين قد يسبب تسريب البيانات,High,Medium,High,High,2.1 | 5.1,Active
40,عدم توثيق الأصول,عدم معرفة الأصول قد يؤدي لحماية غير مناسبة,High,Medium,Medium,High,6.1 | 9.1,Active
41,ضعف الرقابة المادية,الوصول المادي غير المحدود قد يسهل السرقة,High,Medium,High,High,7.1 | 9.1,Active
42,عدم التشفير الطرفي,أجهزة الموظفين غير مشفرة قد تعرض البيانات,High,High,High,Critical,6.3 | 7.1,Active
43,ضعف التحكم بإصدار البيانات,عدم التحكم بمن يحصل على البيانات قد يؤدي لتسرب,High,High,High,Critical,5.1 | 6.1,Active
44,عدم القانونية والخصوصية,عدم الامتثال لقوانين الخصوصية يعرض المؤسسة للمسؤولية,High,High,High,Critical,11.1 | 11.2 | 11.3,Active
45,ضعف التطبيقات والبرمجيات,تطبيقات غير آمنة قد تحتوي على ثغرات,High,High,High,Critical,6.2 | 6.3 | 7.2,Active
