#,رقم الضابط,اسم الضابط,وصف الضابط,الهدف من الضابط,المخاطر المرتبطة,خطوات التنفيذ,معايير القياس,دليل الاختبار,مالك الضابط,تكرار المراجعة,حالة التطبيق
11,HRMS-C-011,حسابات فردية إلزامية,فرض استخدام حسابات فردية لكل مسؤول بدل الحسابات المشتركة,ضمان قابلية تتبع المسؤوليات والأنشطة,HRMS-011,1. مراجعة الحسابات الحالية 2. إنشاء حسابات فردية 3. حذف الحسابات المشتركة 4. توثيق,قائمة الحسابات الفردية | حذف المشتركة | سجل التغيير,فحص الحسابات | اختبار الوصول | مراجعة السجل,HRMS Admin & IT Security,سنوي,تطبيق أساسي
12,HRMS-C-012,مراجعة دورية للصلاحيات (Access Recertification),إجراء مراجعة شاملة دورية (ربع سنوية) حيث يوافق المديرون على الصلاحيات الحالية,ضمان أن الصلاحيات لا تزال ضرورية وصحيحة,HRMS-006 | HRMS-012 | HRMS-015,1. إعداد قائمة بصلاحيات كل موظف 2. إرسالها للمدير 3. الموافقة أو الطلب بالإزالة 4. توثيق النتائج,قائمة الصلاحيات | تأكيدات المديرين | توثيق الإجراءات,سحب القائمة | فحص التأكيدات | مراجعة الإجراءات,HR Manager & HRMS Admin,ربع سنوي,تطبيق جزئي
13,HRMS-C-013,سجل شامل وآمن لتغييرات الصلاحيات,إنشاء سجل مركزي وآمن يتتبع جميع تغييرات الصلاحيات مع من قام بالتغيير ومتى,تمكين التدقيق والتحقيق,HRMS-013 | HRMS-016,1. تفعيل تسجيل التغييرات في HRMS 2. حماية السجلات من التعديل 3. الاحتفاظ بها 12 شهراً 4. نسخ احتياطية,تسجيل مفعّل | حماية السجل | نسخ احتياطية,فحص إعدادات التسجيل | اختبار عينة من السجلات | التحقق من الحماية,HRMS Admin & IT Security,شهري,تطبيق جزئي
14,HRMS-C-014,قيود التصدير والمشاركة,تطبيق قيود على تصدير بيانات الموظفين مع موافقة وتسجيل,منع التسرب غير المصرح للبيانات الحساسة,HRMS-014 | HRMS-015,1. تحديد من يمكنه التصدير 2. تفعيل الموافقة قبل التصدير 3. تسجيل جميع عمليات التصدير 4. مراجعة دورية,قيود موثقة | نظام موافقة | سجل التصدير,فحص الإعدادات | اختبار التصدير | مراجعة السجل,HRMS Admin & DPO,شهري,تطبيق أساسي
15,HRMS-C-015,تطبيق مبدأ أقل صلاحية (Least Privilege),ضمان أن كل موظف يحصل على أقل صلاحيات ضرورية لأداء وظيفته فقط,تقليل سطح التعرض للخطر,HRMS-001 | HRMS-006 | HRMS-015,1. تصميم مصفوفة بناءً على الحد الأدنى 2. توثيقها 3. تنفيذها 4. مراجعة دورية,مصفوفة موثقة | تطبيق في النظام | مراجعة دورية,فحص المصفوفة | اختبار 20 موظف | مراجعة الدورية,HRMS Admin & CISO,سنوي,تطبيق أساسي
16,HRMS-C-016,مراقبة وتنبيهات الأنشطة المريبة,تطبيق نظام مراقبة وتنبيهات تكتشف الأنشطة غير المعتادة (محاولات وصول متكررة فاشلة، تصدير كميات كبيرة، إلخ),الكشف المبكر والاستجابة السريعة للحوادث,HRMS-016 | HRMS-001,1. تحديد الأنشطة المريبة 2. إعداد قواعل تنبيه 3. تطبيقها في النظام 4. مراجعة التنبيهات,قواعل تنبيه موثقة | نظام مراقبة | سجل التنبيهات,فحص القواعل | اختبار التنبيهات | مراجعة السجل,HRMS Admin & CISO,شهري,غير مطبق
17,HRMS-C-017,تشفير البيانات أثناء النقل,تطبيق تشفير قوي (TLS/SSL) على جميع اتصالات HRMS سواء داخلية أو خارجية,حماية البيانات من الاعتراض والتسرب,HRMS-017,1. مراجعة إعدادات HTTPS 2. فعّل TLS 1.2+ 3. استخدم شهادات صحيحة 4. اختبار دوري,HTTPS مفعّل | TLS 1.2+ | شهادات صحيحة,فحص الإعدادات | اختبار SSL/TLS | التحقق من الشهادات,IT Security & Network Team,سنوي,تطبيق شامل
18,HRMS-C-018,نسخ احتياطية قوية ومنتظمة,إجراء نسخ احتياطية يومية على الأقل مع اختبار دوري للاسترجاع,ضمان استمرارية البيانات والعمليات,HRMS-018,1. جدولة نسخ احتياطية يومية 2. تخزين آمن 3. اختبار استرجاع شهري 4. توثيق,جدول نسخ احتياطية | التخزين الآمن | اختبارات الاسترجاع,فحص الجدول | اختبار الاسترجاع | مراجعة التوثيق,IT Ops,يومي/شهري,تطبيق شامل
19,HRMS-C-019,إدارة التحديثات الأمنية والتصحيحات,تطبيق التحديثات والتصحيحات الأمنية بسرعة (خلال 30 يوم من الإصدار),تقليل الثغرات المعروفة والاستغلال,HRMS-019,1. متابعة التحديثات من المورد 2. اختبارها في بيئة آمنة 3. تطبيقها 4. توثيق,خطة تحديثات | اختبارات | توثيق التطبيق,مراجعة الخطة | اختبار التحديثات | مراجعة التوثيق,IT Ops & Vendor Management,عند الحاجة,تطبيق جزئي
20,HRMS-C-020,خطة استمرارية العمل والكوارث (BCP/DRP),توثيق وتطبيق خطة شاملة لضمان استمرارية HRMS عند الكوارث,ضمان التعافي السريع والعودة للعمل,HRMS-020,1. توثيق خطة BCP/DRP 2. تحديد RTO/RPO 3. موقع بديل 4. اختبار نصف سنوي,خطة موثقة | RTO/RPO محددة | موقع بديل | اختبارات,مراجعة الخطة | اختبار البطة | مراجعة النتائج,IT Ops & HRMS Team,نصف سنوي,تطبيق أساسي
