#,Risk ID,بيان الخطر (Risk Statement),وصف الخطر,الفئة,الاحتمالية,التأثير,درجة الخطر الكامنة,الضوابط الموجودة,مالك الضابط,درجة الخطر المتبقية,معالجة الخطر,الحالة,منطقة التدقيق
11,HRMS-011,قد تؤدي الحسابات المشتركة إلى عدم إمكانية تتبع المسؤوليات,استخدام حسابات إدارية مشتركة بدون حساب فردي لكل مسؤول,Access Control,High,High,Critical,حسابات فردية أساسية موجودة,HRMS Admin,High,Mitigate - حساب فردي إلزامي,Active,HRMS Access Management & Audit Trail
12,HRMS-012,قد تؤدي عدم المراجعة الدورية إلى تراكم الصلاحيات غير المصرحة,عدم إجراء مراجعة دورية وشاملة لصلاحيات الموظفين (Access Recertification),Access Control,High,Medium,High,مراجعة سنوية فقط موجودة,HR & HRMS Admin,Medium,Mitigate - مراجعة ربع سنوية,Active,HRMS Access Management & Compliance
13,HRMS-013,قد يؤدي غياب السجل إلى عدم إمكانية التحقيق والتدقيق,غياب سجل شامل وآمن لجميع تغييرات الصلاحيات والوصول,Audit Trail,High,High,Critical,سجل أساسي موجود,HRMS Admin,High,Mitigate - سجل شامل وآمن,Active,HRMS Access Management & Audit Trail
14,HRMS-014,قد يؤدي التصدير غير المحدود إلى تسرب بيانات الموظفين,إمكانية تصدير بيانات الموظفين دون قيود أو موافقات,Data Protection,High,High,Critical,قيود تصدير أساسية موجودة,HRMS Admin,High,Mitigate - قيود تصدير قوية,Active,HRMS Access Management & Data Protection
15,HRMS-015,قد تؤدي عدم تقييد الوصول إلى وصول متوسع للبيانات الحساسة,عدم تطبيق مبدأ أقل صلاحية على البيانات الحساسة والشخصية,Access Control,High,High,Critical,قيود وصول أساسية موجودة,HRMS Admin & DPO,High,Mitigate - قيود وصول قوية ومرنة,Active,HRMS Access Management & Data Protection
16,HRMS-016,قد تؤدي عدم المراقبة إلى عدم اكتشاف الانتهاكات,غياب مراقبة وتنبيهات لأنشطة مريبة في نظام HRMS,Monitoring,High,High,Critical,تسجيل أساسي موجود,HRMS Admin & CISO,High,Mitigate - مراقبة وتنبيهات قوية,Active,HRMS Access Management & Monitoring
17,HRMS-017,قد يؤدي إلى تسرب البيانات الحساسة عند النقل,عدم تشفير البيانات المنقولة من/إلى HRMS,Data Protection,High,High,Critical,تشفير جزئي موجود,HRMS Admin & Network Team,High,Mitigate - تشفير شامل,Active,HRMS Access Management & Data Protection
18,HRMS-018,قد يؤدي إلى فقدان البيانات والقدرة على الاسترجاع,نسخ احتياطية غير كاملة أو غير منتظمة لبيانات HRMS,Data Protection,High,High,Critical,نسخ احتياطية أساسية موجودة,IT Ops,High,Mitigate - نسخ احتياطية قوية,Active,HRMS Access Management & Business Continuity
19,HRMS-019,قد تؤدي الثغرات إلى اختراق النظام والوصول غير المصرح,عدم تطبيق التحديثات والتصحيحات الأمنية بسرعة,Security Patch,High,High,Critical,تحديثات أساسية موجودة,IT Ops & Vendor,High,Mitigate - إدارة تحديثات قوية,Active,HRMS Access Management & System Security
20,HRMS-020,قد تؤدي الفشل التام إلى فقدان الخدمة والبيانات,غياب أو ضعف خطة استمرارية العمل والكوارث لـ HRMS,Business Continuity,High,High,Critical,خطة BCP أساسية موجودة,IT Ops & HRMS Team,High,Mitigate - خطة BCP قوية,Active,HRMS Access Management & Business Continuity
