#,Risk ID,بيان الخطر (Risk Statement),وصف الخطر,الفئة,الاحتمالية,التأثير,درجة الخطر الكامنة,الضوابط الموجودة,مالك الضابط,درجة الخطر المتبقية,معالجة الخطر,الحالة,منطقة التدقيق
11,IT-011,قد يؤدي غياب المصادقة متعددة العوامل إلى اختراق الحسابات الحساسة,عدم تطبيق MFA على الحسابات الحرجة والإدارية,Access Control,High,High,Critical,MFA غير مطبق على معظم الحسابات,CISO,High,Mitigate - تطبيق MFA,Active,Access Management
12,IT-012,قد تؤدي عدم معرفة حساسية البيانات إلى حماية غير مناسبة لها,عدم وجود نظام واضح لتصنيف البيانات حسب حساسيتها,Data Protection,High,Medium,High,تصنيف أساسي موجود,CISO & DPO,Medium,Mitigate - نظام تصنيف شامل,Active,Data Protection
13,IT-013,قد تؤدي بيانات غير مشفرة أثناء النقل إلى اختراق وتسرب البيانات,عدم تطبيق التشفير على جميع اتصالات النقل (TLS/SSL),Data Protection,High,High,Critical,TLS مطبق على معظم الخدمات,CISO,Medium,Mitigate - تشفير شامل,Active,Data Protection & Network Security
14,IT-014,قد تؤدي بيانات غير مشفرة في التخزين إلى سرقة البيانات,عدم تطبيق التشفير على البيانات المخزنة (Database/Storage),Data Protection,High,High,Critical,تشفير جزئي موجود,CISO,Medium,Mitigate - تشفير شامل,Active,Data Protection
15,IT-015,قد يؤدي سوء إدارة المفاتيح التشفيرية إلى فقدان فعالية التشفير,عدم وجود نظام إدارة مفاتيح مركزي وآمن (KMS),Data Protection,High,Medium,High,إدارة يدوية للمفاتيح,CISO,Medium,Mitigate - تطبيق KMS,Active,Data Protection
16,IT-016,قد يؤدي الوصول غير المحدود للشبكة إلى نفاذ المهاجمين للأنظمة الحساسة,غياب جدران نار قوية مع قواعل حماية مناسبة,Network Security,High,High,Critical,جدران نار أساسية موجودة,Network Team,High,Mitigate - تقوية الجدران,Active,Network Security
17,IT-017,قد تؤدي عدم القدرة على كشف الهجمات إلى تأخر الاستجابة وتفاقم الضرر,غياب نظام كشف الاختراقات (IDS/IPS) أو ضعفه,Network Security,High,High,Critical,IDS/IPS موجود لكن غير فعّال,Network Team & CISO,High,Mitigate - تقوية IDS/IPS,Active,Network Security
18,IT-018,قد تؤدي الاتصالات غير المحمية من بعيد إلى تسرب البيانات الحساسة,غياب أو ضعف نظام VPN آمن للعمل عن بعد,Network Security,High,High,Critical,VPN موجود لكن غير إلزامي,Network Team,High,Mitigate - VPN إلزامي وقوي,Active,Network Security & Remote Access
19,IT-019,قد يؤدي عدم التسجيل إلى عدم إمكانية تتبع الأنشطة والانتهاكات,غياب نظام تسجيل شامل لجميع الأحداث الحرجة (Logging),Monitoring,High,High,Critical,تسجيل جزئي موجود,CISO & IT Ops,High,Mitigate - تسجيل شامل,Active,Monitoring & Incident Management
20,IT-020,قد يؤدي عدم الكشف السريع عن الحوادث إلى تأخر الاستجابة وتفاقم الضرر,غياب نظام مراقبة فعّال مع تنبيهات فورية للأحداث الحرجة,Monitoring,High,High,Critical,مراقبة أساسية فقط,CISO & IT Ops,High,Mitigate - مراقبة 24/7,Active,Monitoring & Incident Management
21,IT-021,قد تؤدي عدم معرفة المخاطر إلى عدم القدرة على الاستعداد الكافي,غياب تقييم شامل ودوري للمخاطر,Risk Management,High,High,Critical,تقييم خطر سنوي موجود,CISO & Risk Officer,High,Mitigate - تقييم دوري ربع سنوي,Active,Risk Management
22,IT-022,قد تؤدي عدم معالجة المخاطر إلى استمرار الضعف والتعرض,غياب خطة معالجة للمخاطر المكتشفة مع مالكين محددين,Risk Management,High,High,Critical,خطة معالجة موجودة لكن ضعيفة,Risk Officer,High,Mitigate - خطة معالجة قوية,Active,Risk Management
23,IT-023,قد تؤدي عدم متابعة المخاطر إلى ظهور مخاطر جديدة غير معروفة,عدم مراقبة دورية لسجل المخاطر وتحديثه,Risk Management,High,Medium,High,متابعة سنوية فقط,Risk Officer,Medium,Mitigate - متابعة ربع سنوية,Active,Risk Management
24,IT-024,قد يؤدي فقدان العمليات الحرجة إلى توقف العمل والخسائر المالية,غياب خطة استمرارية العمل (BCP) معتمدة وموثقة,Business Continuity,High,High,Critical,خطة BCP موجودة لكن ناقصة,CISO & IT Ops,High,Mitigate - خطة BCP شاملة,Active,Business Continuity
25,IT-025,قد تؤدي الثقة الزائفة بفعالية الخطة إلى فشل حقيقي عند الحاجة,عدم اختبار دوري فعّال لخطة الكوارث (DRP),Business Continuity,High,Medium,High,اختبار سنوي موجود,CISO & IT Ops,Medium,Mitigate - اختبار نصف سنوي,Active,Business Continuity
26,IT-026,قد يؤدي غياب بديل إلى توقف نهائي للعمليات بدون استعادة,غياب موقع بديل (Hot/Warm/Cold Site),Business Continuity,High,High,Critical,موقع بديل بسيط موجود,IT Ops,High,Mitigate - موقع بديل Hot,Active,Business Continuity
27,IT-027,قد تؤدي الغرامات التنظيمية والعقوبات إلى خسائر مالية كبيرة,عدم الامتثال الكامل لقانون حماية البيانات الشخصية 24/2023,Compliance,High,High,Critical,امتثال جزئي موجود,CISO & DPO,High,Mitigate - امتثال كامل,Active,Data Protection & Compliance
28,IT-028,قد تؤدي عدم المعالجة السريعة إلى انتهاك حقوق الأفراد والمسؤولية القانونية,ضعف في معالجة طلبات حقوق الأفراد (وصول، حذف، نقل) في الموعد,Compliance,Medium,High,High,نظام طلبات أساسي موجود,DPO,Medium,Mitigate - نظام طلبات قوي,Active,Data Protection & Compliance
29,IT-029,قد تؤدي عدم الإبلاغ الفوري إلى فاقم المشكلة والعقوبات التنظيمية,غياب عملية فوري وفعّالة للإبلاغ عن انتهاكات البيانات,Compliance,High,High,Critical,عملية إبلاغ أساسية موجودة,DPO & CISO,High,Mitigate - عملية إبلاغ قوية,Active,Incident Management & Compliance
30,IT-030,قد تؤدي صلاحيات متداخلة إلى تسهيل الاحتيال والأخطاء,عدم فصل واضح للمسؤوليات (SoD) في العمليات الحرجة,Access Control,High,High,Critical,فصل أساسي موجود,Finance & IT,High,Mitigate - فصل شامل,Active,Access Management & Financial Controls
31,IT-031,قد تؤدي الخلط بين البيئات إلى تلف البيانات والعمليات الحية,عدم فصل كافٍ بين بيئات الإنتاج والاختبار والتطوير,Access Control,High,Medium,High,فصل أساسي موجود,IT Ops,Medium,Mitigate - فصل شامل,Active,Access Management & Change Management
32,IT-032,قد تؤدي مراقبة الموردين الضعيفة إلى تعرض البيانات للخطر عبرهم,غياب رقابة فعّالة على الموردين والعقود الأمنية,Vendor Management,High,High,Critical,عقود أساسية موجودة,Vendor Management,High,Mitigate - رقابة قوية,Active,Third-Party Risk & Vendor Management
33,IT-033,قد تؤدي عدم الاستعداد إلى تأخر طويل في الاستجابة والتعافي,غياب خطة استجابة واضحة للحوادث الأمنية,Incident Management,High,High,Critical,خطة استجابة أساسية موجودة,CISO & IT Ops,High,Mitigate - خطة استجابة قوية,Active,Incident Management
34,IT-034,قد تؤدي النسخ الاحتياطية غير الكافية إلى فقدان البيانات الدائم,نسخ احتياطية غير موثوقة أو غير مكتملة,Data Protection,High,High,Critical,نسخ احتياطية أساسية موجودة,IT Ops,High,Mitigate - نسخ احتياطية قوية,Active,Data Protection & Business Continuity
35,IT-035,قد تؤدي الثغرات في الأنظمة إلى اختراق والوصول غير المصرح,عدم تطبيق التحديثات الأمنية والتصحيحات بسرعة,Patch Management,High,High,Critical,تحديثات أساسية موجودة,IT Ops,High,Mitigate - إدارة تحديثات قوية,Active,Patch Management & System Security
36,IT-036,قد تؤدي ضعف الفحوصات والتحقق إلى توظيف أشخاص غير موثوقين,غياب فحوصات أمنية شاملة عند التوظيف,Human Resources,High,Medium,High,فحوصات أساسية موجودة,HR,Medium,Mitigate - فحوصات قوية,Active,HR Security & Access Management
37,IT-037,عدم معرفة الأصول قد يؤدي إلى حماية غير مناسبة,غياب جرد شامل ومحدث للأصول التقنية,Asset Management,High,Medium,High,جرد أساسي موجود,IT Ops,Medium,Mitigate - جرد شامل,Active,Asset Management
38,IT-038,قد يؤدي الوصول المادي غير المحدود إلى السرقة والتخريب,غياب ضوابط وصول مادية قوية على مركز البيانات والخوادم,Physical Security,High,High,Critical,ضوابط أساسية موجودة,Facilities,High,Mitigate - ضوابط قوية,Active,Physical Security
39,IT-039,قد تؤدي أجهزة غير مشفرة إلى تسرب البيانات عند الضياع,عدم تشفير أجهزة المستخدمين النهائية (Laptops/Desktops),Data Protection,High,High,Critical,تشفير جزئي موجود,IT Ops,High,Mitigate - تشفير شامل,Active,Endpoint Security & Data Protection
40,IT-040,قد تؤدي عدم التحكم بمشاركة البيانات إلى تسرب غير مصرح,غياب ضوابط على تصدير ومشاركة البيانات الحساسة,Data Protection,High,High,Critical,ضوابط أساسية موجودة,CISO,High,Mitigate - ضوابط قوية,Active,Data Protection & DLP
41,IT-041,قد تؤدي ضعف الرقابة على التطبيقات إلى ثغرات أمنية,عدم الفحص الدوري والاختبار الأمني للتطبيقات,Application Security,High,High,Critical,فحص أساسي موجود,Development Team,High,Mitigate - فحص شامل,Active,Application Security & Vulnerability Management
42,IT-042,قد تؤدي عدم المعرفة بالقوانين إلى انتهاكات وغرامات,عدم الامتثال الشامل للقوانين والتشريعات ذات الصلة,Compliance,High,High,Critical,امتثال جزئي موجود,Legal & CISO,High,Mitigate - امتثال كامل,Active,Regulatory Compliance & Legal
43,IT-043,قد تؤدي إدارة ضعيفة للعقود إلى نزاعات وتسرب بيانات,غياب إدارة شاملة وقوية للعقود مع الموردين,Vendor Management,High,Medium,High,عقود أساسية موجودة,Procurement,Medium,Mitigate - إدارة عقود قوية,Active,Third-Party Risk & Vendor Management
44,IT-044,قد تؤدي ضعف الوثائق إلى صعوبة الرقابة والتدقيق,غياب توثيق شامل للعمليات والضوابط,Documentation,High,Medium,High,توثيق جزئي موجود,CISO & Process Owners,Medium,Mitigate - توثيق شامل,Active,Process Management & Audit
45,IT-045,قد تؤدي عدم الشفافية إلى فقدان الثقة والمساءلة,غياب تقارير شفافة ودورية عن حالة الأمن والامتثال,Governance,High,Medium,High,تقارير سنوية فقط,CISO,Medium,Mitigate - تقارير دورية,Active,Governance & Transparency
